#{"t_start": 1775204662.012896, "env_id": "None"}
r,l,t
3.479279,26,713.731501
2.696016,42,714.269712
13.996816,240,714.865523
2.800226,30,715.400558
3.906991,46,715.939268
4.074685,50,716.473863
3.344438,30,717.001509
5.839807,86,717.552028
2.136108,35,718.087343
1.842799,34,718.621097
2.776802,48,719.158829
1.694577,32,719.687984
3.842611,64,720.231641
2.981235,34,720.772439
1.684935,32,721.305547
2.226948,36,721.84043
3.208554,31,722.372949
1.668504,31,722.906689
2.816084,31,723.440346
2.685513,42,723.97733
1.690699,30,724.507574
3.607436,44,725.045741
1.914383,35,725.576494
1.618506,29,726.108366
13.996816,240,726.706873
1.75615,33,727.243839
1.413789,25,727.775089
2.07736,34,728.311592
2.589369,28,728.84322
13.996816,240,729.443387
2.799543,31,729.978698
2.978144,34,730.512989
2.244626,34,731.617416
2.62752,28,732.14622
1.666824,31,732.680718
1.821462,31,733.214478
1.869298,33,733.748377
7.597914,120,734.309062
3.376911,33,734.849439
13.996816,240,735.450711
5.37815,84,736.00008
3.607822,41,736.537125
2.620895,35,737.068473
13.996816,240,738.215708
1.893231,34,738.803631
13.996816,240,739.400942
13.996816,240,740.00125
1.677805,31,740.537197
2.320045,37,741.072613
4.746491,70,741.616615
13.996816,240,742.220418
13.996816,240,743.302643
2.856685,32,743.839873
2.14297,35,744.374007
3.652869,33,744.907413
1.656078,29,745.440174
13.996816,240,746.039052
13.996816,240,746.639795
13.996816,240,749.232308
1.89621,35,749.795898
4.433186,55,750.336437
2.14258,34,750.912445
14.629939,240,751.506555
3.52018,34,752.046723
3.318692,40,752.581548
1.142811,25,753.111236
3.439517,42,753.650038
4.16085,59,754.189521
2.08821,40,754.733417
13.996816,240,755.329191
3.887386,55,755.872529
3.431916,42,756.419667
4.249684,51,756.955302
3.259272,32,757.483148
4.105994,79,758.032541
1.887129,33,758.601235
1.51632,27,759.133017
3.809854,47,760.253121
13.996816,240,760.850134
3.89314,46,761.390878
1.53988,28,761.9189
13.996816,240,762.518288
2.158881,34,763.054993
2.062372,33,763.588292
13.996816,240,764.186214
2.725926,28,764.72142
13.996816,240,765.320065
1.701895,31,765.85616
2.887292,31,766.389739
3.763411,68,766.934787
3.296593,37,767.475675
13.996816,240,768.071468
13.996816,240,769.339152
1.614486,30,769.880884
2.146876,37,770.411638
2.267026,39,770.945961
