#{"t_start": 1775033592.2373734, "env_id": "None"}
r,l,t
12.778594,240,523.5422
12.768441,240,524.143157
12.776667,240,524.778509
0.902486,94,525.332384
5.668673,104,525.885267
1.598482,30,526.413171
0.285266,12,526.94127
1.874688,32,527.481583
1.534132,26,528.046892
12.787455,240,528.644738
12.769091,240,529.24582
1.74341,24,529.780955
1.593269,27,530.315811
0.113761,33,530.851541
7.781997,140,531.997518
0.165801,8,532.527786
12.779423,240,533.132342
12.775076,240,533.732736
0.575951,39,534.272887
2.137236,41,534.806845
7.126932,93,535.356862
2.213056,42,535.926141
12.811245,240,536.520567
8.14558,123,537.083725
13.973639,141,537.655981
12.778119,240,538.252162
12.769543,240,538.852259
3.304114,60,539.399775
12.780239,240,540.597796
2.018711,35,541.142731
12.780875,240,541.737978
1.72608,29,542.275133
2.061353,37,542.811296
12.309065,240,543.408896
12.764273,240,544.006584
2.103861,38,544.546236
1.99379,33,545.079158
12.458728,236,546.463564
2.332454,47,547.002752
12.76831,240,547.596383
2.024316,40,548.116591
1.999939,37,548.649211
12.774607,240,549.246711
12.808,240,549.84803
3.306401,60,550.924795
3.361602,63,551.476636
12.782906,240,552.082397
12.764459,240,552.681373
1.559144,34,553.218855
1.652855,26,553.750166
9.338708,173,554.32894
1.989518,35,554.870629
12.801103,240,555.477916
0.518303,6,556.012352
12.771641,240,556.617908
12.81735,240,557.218891
8.837244,143,557.829081
0.114754,39,558.375279
12.778914,240,558.970739
2.080335,48,559.511458
2.192765,43,560.525332
13.160482,240,561.121321
12.769119,240,561.721376
12.770216,240,562.320843
1.581547,26,562.857289
12.782655,240,563.457106
12.777934,240,564.057513
1.417413,31,564.593797
12.782386,240,565.194715
1.024256,16,565.723122
1.684224,27,566.260425
12.773135,240,566.859615
1.971255,39,567.398043
12.769965,240,569.171462
12.756783,240,569.811816
12.756085,240,570.413181
2.175412,37,570.950224
1.851374,36,571.483689
2.519205,52,572.022557
13.266254,240,572.638233
12.773359,240,573.229755
0.877039,58,573.776705
12.768361,240,574.397657
12.766762,240,574.652718
1.988873,33,575.219651
12.771793,240,575.817717
12.773566,240,576.925442
5.507679,101,577.492989
12.771349,240,578.089663
2.902183,64,578.672709
3.152213,56,579.018196
1.771214,35,579.593369
1.752207,33,580.123348
12.778696,240,580.757963
2.914703,53,581.297689
12.774837,240,581.938955
12.796471,240,582.554132
12.770478,240,583.189834
12.762847,240,583.796368
12.44552,233,584.87334
12.766885,240,585.458602
12.776013,240,586.091923
12.766486,240,587.490004
12.765111,240,588.127228
12.770935,240,588.727092
3.51278,61,589.307538
12.767652,240,589.90935
1.60567,32,590.481492
12.771726,240,591.079903
12.772189,240,592.217109
2.06,40,592.786504
12.7664,240,593.413272
12.771682,240,594.015437
12.775442,240,594.64993
12.766289,240,595.248628
2.782725,48,595.807661
12.770677,240,596.414933
1.577016,27,596.951601
1.821752,30,597.519491
12.771005,240,598.127138
12.783539,240,598.751192
12.766165,240,599.940184
6.627495,122,600.500258
12.760034,240,601.102501
12.779428,240,601.738575
12.766142,240,602.338352
12.763393,240,602.971132
12.763444,240,603.605171
12.768482,240,604.204949
12.769451,240,605.578144
